fetched from: https://autoconfig.thunderbird.net/v1.1/, enriched, updated at: 2024-05-11
domain;smtp_host:smtp_port,smtp_host:smtp_port,smtp_host:smtp_port;smtp_login_template
vm.aikis.or.jp;mail.aikis.or.jp:587;%EMAILLOCALPART%
waltz.plala.or.jp;waltz.plala.or.jp:587;%EMAILLOCALPART%
vmail.plala.or.jp;vmail.plala.or.jp:587;%EMAILLOCALPART%
violet.plala.or.jp;violet.plala.or.jp:587;%EMAILLOCALPART%
wine.plala.or.jp;wine.plala.or.jp:587;%EMAILLOCALPART%
wave.plala.or.jp;wave.plala.or.jp:587;%EMAILLOCALPART%
xmail.plala.or.jp;xmail.plala.or.jp:587;%EMAILLOCALPART%
xpost.plala.or.jp;xpost.plala.or.jp:587;%EMAILLOCALPART%
yahoo.co.jp;smtp.mail.yahoo.co.jp:465;%EMAILADDRESS%
wmail.plala.or.jp;wmail.plala.or.jp:587;%EMAILLOCALPART%
xp.wind.jp;xp.wind.jp:587;%EMAILLOCALPART%
x-il.jp;mbox.iijmio-mail.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
white.plala.or.jp;white.plala.or.jp:587;%EMAILLOCALPART%
ypost.plala.or.jp;ypost.plala.or.jp:587;%EMAILLOCALPART%
zpost.plala.or.jp;zpost.plala.or.jp:587;%EMAILLOCALPART%
ymail.plala.or.jp;ymail.plala.or.jp:587;%EMAILLOCALPART%
ybb.ne.jp;ybbsmtp.mail.yahoo.co.jp:465;%EMAILADDRESS%
zmail.plala.or.jp;zmail.plala.or.jp:587;%EMAILLOCALPART%
yellow.plala.or.jp;yellow.plala.or.jp:587;%EMAILLOCALPART%
kokuyou.ne.jp;smtp.kokuyou.ne.jp:25;%EMAILLOCALPART%
nifty.ne.jp;smtp.nifty.ne.jp:587;%EMAILLOCALPART%
mbn.nifty.com;smtp.nifty.com:587;%EMAILLOCALPART%
mbm.nifty.com;smtp.nifty.com:587;%EMAILLOCALPART%
mbr.nifty.com;smtp.nifty.com:587;%EMAILLOCALPART%
mbf.nifty.com;smtp.nifty.com:587;%EMAILLOCALPART%
mbh.nifty.com;smtp.nifty.com:587;%EMAILLOCALPART%
mbk.nifty.com;smtp.nifty.com:587;%EMAILLOCALPART%
mbp.nifty.com;smtp.nifty.com:587;%EMAILLOCALPART%
mbj.nifty.com;smtp.nifty.com:587;%EMAILLOCALPART%
mbg.nifty.com;smtp.nifty.com:587;%EMAILLOCALPART%
nifty.com;smtp.nifty.com:587;%EMAILLOCALPART%
commufa.jp;smtp.commufa.jp:465;%EMAILADDRESS%
sf.commufa.jp;smtp.sf.commufa.jp:587;%EMAILLOCALPART%
wh.commufa.jp;smtp.wh.commufa.jp:587;%EMAILLOCALPART%
na.commufa.jp;smtp.na.commufa.jp:587;%EMAILLOCALPART%
tg.commufa.jp;smtp.tg.commufa.jp:587;%EMAILLOCALPART%
yk.commufa.jp;smtp.yk.commufa.jp:587;%EMAILLOCALPART%
xj.commufa.jp;smtp.xj.commufa.jp:587;%EMAILLOCALPART%
zm.commufa.jp;smtp.zm.commufa.jp:587;%EMAILLOCALPART%
qc.commufa.jp;smtp.qc.commufa.jp:587;%EMAILLOCALPART%
re.commufa.jp;smtp.re.commufa.jp:587;%EMAILLOCALPART%
a1.rimnet.ne.jp;smtp.a1.rimnet.ne.jp:587;%EMAILLOCALPART%
a2.rimnet.ne.jp;smtp.a2.rimnet.ne.jp:587;%EMAILLOCALPART%
a3.rimnet.ne.jp;smtp.a3.rimnet.ne.jp:587;%EMAILLOCALPART%
a4.rimnet.ne.jp;smtp.a4.rimnet.ne.jp:587;%EMAILLOCALPART%
a5.rimnet.ne.jp;smtp.a5.rimnet.ne.jp:587;%EMAILLOCALPART%
a6.rimnet.ne.jp;smtp.a6.rimnet.ne.jp:587;%EMAILLOCALPART%
a7.rimnet.ne.jp;smtp.a7.rimnet.ne.jp:587;%EMAILLOCALPART%
a8.rimnet.ne.jp;smtp.a8.rimnet.ne.jp:587;%EMAILLOCALPART%
a9.rimnet.ne.jp;smtp.a9.rimnet.ne.jp:587;%EMAILLOCALPART%
a10.rimnet.ne.jp;smtp.a10.rimnet.ne.jp:587;%EMAILLOCALPART%
po1.canet.ne.jp;po1.canet.ne.jp:465;%EMAILADDRESS%
po2.canet.ne.jp;po2.canet.ne.jp:465;%EMAILADDRESS%
po3.canet.ne.jp;po3.canet.ne.jp:465;%EMAILADDRESS%
po4.canet.ne.jp;po4.canet.ne.jp:465;%EMAILADDRESS%
po5.canet.ne.jp;po5.canet.ne.jp:465;%EMAILADDRESS%
po6.canet.ne.jp;po6.canet.ne.jp:465;%EMAILADDRESS%
po7.canet.ne.jp;po7.canet.ne.jp:465;%EMAILADDRESS%
po8.canet.ne.jp;po8.canet.ne.jp:465;%EMAILADDRESS%
po9.canet.ne.jp;po9.canet.ne.jp:465;%EMAILADDRESS%
po10.canet.ne.jp;po10.canet.ne.jp:465;%EMAILADDRESS%
mydatasystem.jp;smtp.mydatasystem.jp:25;%EMAILLOCALPART%
dmdsecure.jp;smtp.dmdsecure.jp:587;%EMAILLOCALPART%
hypersecure.jp;smtp.hypersecure.jp:587:%EMAILLOCALPART%
daidan.co.jp;smtp.office365.com:587;%EMAILLOCALPART%
kagoya.net;smtp.kagoya.net:587;%EMAILLOCALPART%
sensyu.ne.jp;mail.sensyu.ne.jp:465;%EMAILADDRESS%
au-one.net.jp;smtp.au-one.net.jp:587;%EMAILLOCALPART%
em-net.ne.jp;smtp.em-net.ne.jp:465;%EMAILADDRESS%
heteml.jp;smtp.heteml.jp:465;%EMAILADDRESS%
pikara.ne.jp;smtp.pikara.ne.jp:465;%EMAILADDRESS%
ma.pikara.ne.jp;smtp.ma.pikara.ne.jp:587;%EMAILLOCALPART%
me.pikara.ne.jp;smtp.me.pikara.ne.jp:587;%EMAILLOCALPART%
mg.pikara.ne.jp;smtp.mg.pikara.ne.jp:587;%EMAILLOCALPART%
mh.pikara.ne.jp;smtp.mh.pikara.ne.jp:587;%EMAILLOCALPART%
mb.pikara.ne.jp;smtp.mb.pikara.ne.jp:587;%EMAILLOCALPART%
mgs.pikara.ne.jp;smtp.mgs.pikara.ne.jp:587;%EMAILLOCALPART%
mm.pikara.ne.jp;smtp.mm.pikara.ne.jp:587;%EMAILLOCALPART%
ca.pikara.ne.jp;smtp.ca.pikara.ne.jp:587;%EMAILLOCALPART%
opt.pikara.ne.jp;smtp.opt.pikara.ne.jp:587;%EMAILLOCALPART%
